news_urls,site_names,bias
https://christiannewsnow.com/,christiannewsnow.com,AllSides Media Bias Rating: Lean Right
http://www.csmonitor.com/,csmonitor.com,AllSides Media Bias Rating: Center
http://www.christianitytoday.com/,christianitytoday.com,AllSides Media Bias Rating: Lean Right
https://www.churchmilitant.com/,churchmilitant.com,AllSides Media Bias Rating: Right
https://churchleaders.com/,churchleaders.com,AllSides Media Bias Rating: Center
http://www.city-journal.org,city-journal.org,AllSides Media Bias Rating: Right
http://www.citylab.com,citylab.com,Political News Media Bias Rating: Not Rated
https://www.lansingcitypulse.com/,lansingcitypulse.com,Political News Media Bias Rating: Not Rated
http://www.civil.ge/eng/,civil.ge,Political News Media Bias Rating: Not Rated
http://www.clarecountyreview.com/,clarecountyreview.com,Political News Media Bias Rating: Not Rated
http://www.clarkstonnews.com/,clarkstonnews.com,Political News Media Bias Rating: Not Rated
http://www.claycountyprogress.com/,claycountyprogress.com,Political News Media Bias Rating: Not Rated
http://www.clintonherald.com/,clintonherald.com,Political News Media Bias Rating: Not Rated
http://www.mlive.com/clio/,mlive.com,Political News Media Bias Rating: Not Rated
http://cnbc.com,cnbc.com,AllSides Media Bias Rating: Center
http://www.cnet.com,cnet.com,AllSides Media Bias Rating: Center
http://www.cnn.com,cnn.com,AllSides Media Bias Rating: Left
https://www.cnn.com/opinions,cnn.com,AllSides Media Bias Rating: Left
https://www.cnn.com/business,cnn.com,AllSides Media Bias Rating: Lean Left
http://cnsnews.com/,cnsnews.com,AllSides Media Bias Rating: Right
https://www.coindesk.com/,coindesk.com,AllSides Media Bias Rating: Center
http://www.thedailyreporter.com/,thedailyreporter.com,Political News Media Bias Rating: Not Rated
http://www.collegiatetimes.com,collegiatetimes.com,Political News Media Bias Rating: Not Rated
http://csbj.com/,csbj.com,Political News Media Bias Rating: Not Rated
http://gazette.com/,gazette.com,AllSides Media Bias Rating: Center
http://www.csindy.com/,csindy.com,Political News Media Bias Rating: Not Rated
http://www.cjr.org/index.php,cjr.org,AllSides Media Bias Rating: Center
https://www.columbiamissourian.com/news/,columbiamissourian.com,AllSides Media Bias Rating: Center
https://colusacountynews.com,colusacountynews.com,Political News Media Bias Rating: Not Rated
https://www.commentarymagazine.com/,commentarymagazine.com,AllSides Media Bias Rating: Right
https://www.commondreams.org/,commondreams.org,AllSides Media Bias Rating: Left
www.somerset-kentucky.com/,somerset-kentucky.com,Political News Media Bias Rating: Not Rated
https://communityimpact.com/,communityimpact.com,Political News Media Bias Rating: Not Rated
https://www.complex.com/,complex.com,AllSides Media Bias Rating: Center
http://www.concordmonitor.com/,concordmonitor.com,AllSides Media Bias Rating: Center
http://www.conservativehq.com/,conservativehq.com,AllSides Media Bias Rating: Right
http://www.conwaydailysun.com/,conwaydailysun.com,Political News Media Bias Rating: Not Rated
http://cookpolitical.com,cookpolitical.com,AllSides Media Bias Rating: Center
http://www.cordeledispatch.com/,cordeledispatch.com,Political News Media Bias Rating: Not Rated
http://www.cordeledispatch.com/,cordeledispatch.com,Political News Media Bias Rating: Not Rated
http://www.cortezjournal.com/,cortezjournal.com,Political News Media Bias Rating: Not Rated
http://www.cosmopolitan.com,cosmopolitan.com,Political News Media Bias Rating: Not Rated
http://www.nonpareilonline.com/,nonpareilonline.com,Political News Media Bias Rating: Not Rated
http://www.countercurrents.org/,countercurrents.org,AllSides Media Bias Rating: Lean Left
http://www.counterpointing.com/,counterpointing.com,AllSides Media Bias Rating: Mixed
http://www.covnews.com/,covnews.com,Political News Media Bias Rating: Not Rated
http://www.craigdailypress.com/,craigdailypress.com,Political News Media Bias Rating: Not Rated
http://www.crainsdetroit.com/,crainsdetroit.com,Political News Media Bias Rating: Not Rated
http://crainsdetroit.com/,crainsdetroit.com,Political News Media Bias Rating: Not Rated
http://clatl.com/,clatl.com,Political News Media Bias Rating: Not Rated
http://www.crestonnewsadvertiser.com/,crestonnewsadvertiser.com,Political News Media Bias Rating: Not Rated
https://www.crowdpac.com/,crowdpac.com,AllSides Media Bias Rating: Center
http://cuindependent.com/,cuindependent.com,AllSides Media Bias Rating: Center
https://www.culvercitynews.org,culvercitynews.org,Political News Media Bias Rating: Not Rated
https://www.currentaffairs.org,currentaffairs.org,AllSides Media Bias Rating: Left
http://www.thedailybeast.com/,thedailybeast.com,AllSides Media Bias Rating: Left
https://www.dailybreeze.com/,dailybreeze.com,AllSides Media Bias Rating: Center
http://www.dailycardinal.com/,dailycardinal.com,AllSides Media Bias Rating: Center
https://www.dailychela.com/,dailychela.com,AllSides Media Bias Rating: Left
https://dailycitizen.focusonthefamily.com/,dailycitizen.focusonthefamily.com,AllSides Media Bias Rating: Right
http://www.dailykos.com,dailykos.com,AllSides Media Bias Rating: Left
http://dailymail.co.uk,dailymail.co.uk,AllSides Media Bias Rating: Right
http://homerindex.com/,homerindex.com,Political News Media Bias Rating: Not Rated
https://www.dailynorseman.com/,dailynorseman.com,AllSides Media Bias Rating: Center
http://dailynorthwestern.com/,dailynorthwestern.com,AllSides Media Bias Rating: Lean Left
http://www.dailypress.com,dailypress.com,AllSides Media Bias Rating: Lean Right
http://www.dailyprogress.com,dailyprogress.com,AllSides Media Bias Rating: Center
https://www.dailyrepublic.com/,dailyrepublic.com,Political News Media Bias Rating: Not Rated
http://www.lsureveille.com/daily/,lsureveille.com,Political News Media Bias Rating: Not Rated
https://www.dailysabah.com,dailysabah.com,Political News Media Bias Rating: Not Rated
http://www.thedailycitizen.com/,thedailycitizen.com,Political News Media Bias Rating: Not Rated
http://www.sitkasentinel.com/,sitkasentinel.com,Political News Media Bias Rating: Not Rated
http://www.dailytargum.com/,dailytargum.com,AllSides Media Bias Rating: Lean Left
http://dailytexasnews.com/,dailytexasnews.com,Political News Media Bias Rating: Not Rated
https://www.dailytrib.com/,dailytrib.com,AllSides Media Bias Rating: Center
https://www.dallasobserver.com/,dallasobserver.com,Political News Media Bias Rating: Not Rated
https://dallasweekly.com/,dallasweekly.com,Political News Media Bias Rating: Not Rated
https://www.nbcdfw.com/,nbcdfw.com,Political News Media Bias Rating: Not Rated
http://www.daltondailycitizen.com/,daltondailycitizen.com,Political News Media Bias Rating: Not Rated
http://www.ourdavie.com/,ourdavie.com,Political News Media Bias Rating: Not Rated
http://davisonindex.mihomepaper.com/,davisonindex.mihomepaper.com,Political News Media Bias Rating: Not Rated
https://www.daytondailynews.com/,daytondailynews.com,AllSides Media Bias Rating: Center
https://deadline.com/,deadline.com,AllSides Media Bias Rating: Center
http://www.pressandguide.com/,pressandguide.com,Political News Media Bias Rating: Not Rated
http://downriversundaytimes.com/,downriversundaytimes.com,Political News Media Bias Rating: Not Rated
https://www.defenseone.com/,defenseone.com,AllSides Media Bias Rating: Center
http://www.deltacountyindependent.com/new/index.php,deltacountyindependent.com,Political News Media Bias Rating: Not Rated
http://www.lansingstatejournal.com/section/deltawaverly,lansingstatejournal.com,Political News Media Bias Rating: Not Rated
http://www.democracynow.org/,democracynow.org,AllSides Media Bias Rating: Left
http://www.bizjournals.com/denver/,bizjournals.com,Political News Media Bias Rating: Not Rated
http://www.westword.com/,westword.com,Political News Media Bias Rating: Not Rated
http://www.derrynews.com/,derrynews.com,Political News Media Bias Rating: Not Rated
http://desmoinesregister.com/,desmoinesregister.com,AllSides Media Bias Rating: Center
https://www.deseret.com/,deseret.com,AllSides Media Bias Rating: Center
https://www.desiringgod.org/,desiringgod.org,AllSides Media Bias Rating: Lean Right
http://www.freep.com/,freep.com,AllSides Media Bias Rating: Lean Left
http://www.thejewishnews.com/,thejewishnews.com,Political News Media Bias Rating: Not Rated
https://www.dl-online.com/,dl-online.com,AllSides Media Bias Rating: Center
http://www.legalnews.com/,legalnews.com,Political News Media Bias Rating: Not Rated
http://metrotimes.com/,metrotimes.com,Political News Media Bias Rating: Not Rated
http://www.metrotimes.com/,metrotimes.com,Political News Media Bias Rating: Not Rated
http://www.detroitnews.com/,detroitnews.com,AllSides Media Bias Rating: Center
http://telegramnews.net/,telegramnews.net,Political News Media Bias Rating: Not Rated
https://www.dw.com/,dw.com,AllSides Media Bias Rating: Center
http://www.lansingstatejournal.com/section/DEWITTBATH,lansingstatejournal.com,Political News Media Bias Rating: Not Rated
http://heritage.com/dexter_leader/,heritage.com,Political News Media Bias Rating: Not Rated
http://www.diplomaticourier.com/,diplomaticourier.com,AllSides Media Bias Rating: Center
https://dividedwefall.org/,dividedwefall.org,AllSides Media Bias Rating: Mixed
http://www.donaldsonvillechief.com/,donaldsonvillechief.com,Political News Media Bias Rating: Not Rated
http://www.donalsonvillenews.com/65329/2277/1/home,donalsonvillenews.com,Political News Media Bias Rating: Not Rated
http://www.douglascountybusiness.com/,douglascountybusiness.com,Political News Media Bias Rating: Not Rated
http://www.leaderpub.com/,leaderpub.com,Political News Media Bias Rating: Not Rated
http://www.drudgereport.com/,drudgereport.com,AllSides Media Bias Rating: Lean Right
http://www.dukechronicle.com/,dukechronicle.com,AllSides Media Bias Rating: Center
http://www.duluthnewstribune.com/,duluthnewstribune.com,Political News Media Bias Rating: Not Rated
http://dundeeonline.com/,dundeeonline.com,Political News Media Bias Rating: Not Rated
http://www.derrynews.com/,derrynews.com,Political News Media Bias Rating: Not Rated
http://www.earlycountynews.com/,earlycountynews.com,Political News Media Bias Rating: Not Rated
https://eastbayexpress.com/,eastbayexpress.com,Political News Media Bias Rating: Not Rated
http://www.eastbaytimes.com/,eastbaytimes.com,AllSides Media Bias Rating: Lean Left
https://www.eastbaytimes.com,eastbaytimes.com,Political News Media Bias Rating: Not Rated
http://www.easternecho.com/,easternecho.com,Political News Media Bias Rating: Not Rated
http://www.easternecho.com/,easternecho.com,Political News Media Bias Rating: Not Rated
http://www.lansingstatejournal.com/section/eatonrapids,lansingstatejournal.com,Political News Media Bias Rating: Not Rated
https://www.ebony.com/,ebony.com,AllSides Media Bias Rating: Left
https://www.eplocalnews.org/,eplocalnews.org,AllSides Media Bias Rating: Center
http://edweek.org,edweek.org,AllSides Media Bias Rating: Center
http://www.leaderpub.com/category/news/edwardsburg/,leaderpub.com,Political News Media Bias Rating: Not Rated
http://www.epcan.com/,epcan.com,Political News Media Bias Rating: Not Rated
https://www.elpasotimes.com/,elpasotimes.com,AllSides Media Bias Rating: Center
https://www.elpasotimes.com/,elpasotimes.com,Political News Media Bias Rating: Not Rated
http://www.elvocerous.com/,elvocerous.com,Political News Media Bias Rating: Not Rated
https://www.elle.com/,elle.com,AllSides Media Bias Rating: Lean Left
https://www.eriegaynews.com/,eriegaynews.com,AllSides Media Bias Rating: Lean Left
http://www.emergent.info/,emergent.info,Political News Media Bias Rating: Not Rated
https://erraticus.co/,erraticus.co,AllSides Media Bias Rating: Center
